2023-09-24 21:19:49,723.SmartSmoker_Producer.INFO ==================================================
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Today is 2023-09-24 at 09:19 PM
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Running on: nt Windows 10
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Python version:  3.10.9
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module5\streaming-05-smart-smoker\.venv
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module5\streaming-05-smart-smoker
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO ==================================================
2023-09-24 21:19:58,459.SmartSmoker_Producer.INFO Reading messages from smoker_temps.csv...
2023-09-24 21:19:58,459.SmartSmoker_Producer.INFO --- USER GUIDE: To close the program please select CTRL + c on your keyboard. ---
2023-09-24 21:19:58,460.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:20,84.2]'....
2023-09-24 21:19:58,469.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-09-24 21:19:58,478.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-09-24 21:20:28,499.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:20,84.2]'....
2023-09-24 21:20:28,532.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-09-24 21:20:28,548.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:20,No data received from row]'....
2023-09-24 21:20:58,592.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:21,87.6]'....
2023-09-24 21:20:58,627.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:21,No data received from row]'....
2023-09-24 21:20:58,653.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:21,No data received from row]'....
2023-09-24 21:21:28,668.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:21,87.6]'....
